n_points,allow_single,n_clusters,clustered_fraction,per_point_clusters,purity
1,False,2.4,0.84,4.65,1.0
1,True,2.25,0.83,4.35,1.0
2,False,3.5,0.87,10.2,0.96
2,True,3.3,0.88,9.4,0.96
4,False,6.7,0.88,18.0,0.96
4,True,7.4,0.88,17.85,0.96
8,False,13.6,0.86,36.15,0.95
8,True,13.4,0.87,37.3,0.9
16,False,30.55,0.83,71.0,0.96
16,True,29.8,0.84,72.55,0.92
32,False,62.25,0.79,145.95,0.97
32,True,43.35,0.86,147.65,0.7
64,False,127.15,0.77,296.5,0.97
64,True,13.4,0.97,285.5,0.15
119,False,236.5,0.76,538.7,0.96
119,True,1.0,0.98,538.35,0.03
