Name,Accuracy,ARI,NMI,FMI,V-Measure
BCE Loss,0.91 (0.87-0.94),0.94 (0.92-0.96),0.95 (0.93-0.97),0.94 (0.92-0.96),0.95 (0.93-0.97)
CE loss,0.88 (0.83-0.91),0.94 (0.92-0.95),0.94 (0.92-0.95),0.91 (0.87-0.94),0.94 (0.92-0.95)
Arcface loss 2,0.84 (0.78-0.88),0.90 (0.88-0.92),0.90 (0.87-0.91),0.87 (0.82-0.90),0.90 (0.87-0.91)
Arcface loss 4,0.83 (0.79-0.87),0.90 (0.86-0.92),0.89 (0.86-0.91),0.86 (0.78-0.90),0.89 (0.86-0.91)
Arcface loss 1,0.80 (0.76-0.86),0.90 (0.86-0.92),0.87 (0.86-0.90),0.84 (0.80-0.87),0.87 (0.86-0.90)
Arcface 8,0.64 (0.52-0.75),0.81 (0.77-0.85),0.78 (0.73-0.84),0.61 (0.40-0.76),0.78 (0.73-0.84)
Contrastive loss 32ppb,0.11 (0.10-0.13),0.01 (0.01-0.02),0.18 (0.01-0.26),0.13 (0.08-0.23),0.18 (0.01-0.26)
SSL Contrastive 32ppb,0.11 (0.10-0.13),0.02 (0.01-0.02),0.11 (0.01-0.25),0.18 (0.10-0.24),0.11 (0.01-0.25)
Contrastive loss,0.11 (0.10-0.13),0.02 (0.01-0.02),0.11 (0.01-0.26),0.17 (0.07-0.23),0.11 (0.01-0.26)
SSL Contrastive,0.11 (0.09-0.13),0.02 (0.01-0.02),0.11 (0.01-0.26),0.17 (0.06-0.23),0.11 (0.01-0.26)
