"n_reviewed","run","phi","p"
1,0,0.60660921824643,0.5486942881903
1,0,0.608315414459,0.546446211028055
1,1,0.591158059445466,0.536835533440741
1,2,0.600978272020235,0.508237506799747
1,3,0.602997632477617,0.57082790683619
1,4,0.603148564153905,0.540327203801808
10,0,0.626270457095752,0.686829009090115
10,1,0.618078412158687,0.733651485588034
10,2,0.640333900223383,0.671191318710576
10,3,0.635808768193551,0.674746091793731
10,4,0.650975171254933,0.670448919486065
100,0,0.739602980389804,0.778927527856341
100,1,0.723562825908648,0.789415840901635
100,2,0.715233718017372,0.802970860092327
100,3,0.719663391502941,0.778296608636252
100,4,0.738021761298133,0.775429827158028
2,0,0.57580061005409,0.640182872284497
2,1,0.616207757340744,0.575528089365777
2,2,0.611540863245289,0.585874789284636
2,3,0.577974453651409,0.601598808874852
2,4,0.62340690512806,0.567319242554852
20,0,0.659945039688432,0.73317195306542
20,1,0.66895973538588,0.719372162432622
20,2,0.65161427745301,0.748808827511879
20,3,0.668437233643142,0.698553572703751
20,4,0.639733109844303,0.719961051463843
5,0,0.611058997969124,0.647746831855052
5,1,0.627841109049935,0.668218942985159
5,2,0.623325227382538,0.667115947544403
5,3,0.597939725786669,0.684082462993812
5,4,0.641719174267165,0.582183392160742
50,0,0.698551865316584,0.744175796912998
50,1,0.708133965968163,0.764229238477329
50,2,0.689834060455387,0.772608972086138
50,3,0.683037922139807,0.781695730294347
50,4,0.68946688773373,0.766802702821834
NA,NA,0.798134323446341,0.802173795919782
