"Name","ari (Max)","accuracy","State","Notes","User","Tags","Created","Runtime","Sweep","clustering.min_cluster_size","clustering.reduced_n_dimensions","clustering.reduction_algorithm","data.max_points","data.n_train_samples","name","paths.background_clips_path","paths.labeled_clips_path","paths.save_dir","paths.train_clips_path","preprocessing.clip_duration","preprocessing.high_contrast","preprocessing.overlay","preprocessing.reduce_noise","preprocessing.use_overlay","repeats","results.best_epoch","results.metrics.accuracy","results.metrics.ari","results.metrics.completeness","results.metrics.fmi","results.metrics.homogeneity","results.metrics.nmi","results.metrics.purity","results.metrics.train_loss","results.metrics.v_measure","results.train_time_hrs","strategy","training.arcface_loss_subcenters","training.backbone","training.batch_size","training.clustering_interval_epochs","training.device","training.loss_fn","training.n_clip_replicates","training.n_points_per_batch","training.num_epochs","training.num_workers","save_checkpoints","training.contrastive_loss.different_location_weight","training.contrastive_loss.pseudo_label_weight","training.contrastive_loss.same_clip_weight","training.contrastive_loss.same_location_weight","completeness","fmi","homogeneity","nmi","purity","train_loss","v_measure"
"100 samples","0.2099812873284916","0.24132895217232567","finished","-","","nsamples, v2","2026-04-14T20:38:26.000Z","129","","7","3","tsne","","100","100 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","9","0.3848","0.177","0.5543","0.261","0.5222","0.5378","0.5024","0.2725","0.5378","0.07618125518163046","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.43669554939823657","0.1413839922975735","0.4042133511229031","0.41982709740216617","0.4370208105147864","0.265120267868042","0.41982709740216617"
"100 samples","0.18951299841532812","0.32749178532311063","finished","-","","nsamples, v2","2026-04-14T20:33:50.000Z","143","","7","3","tsne","","100","100 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","","","","","","","","","","","","","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.4753678967205115","0.16399966317907533","0.4586429437973256","0.4668556767879928","0.4914202263599854","0.24580515921115875","0.4668556767879928"
"100 samples","0.26185982377798644","0.35852500912741875","finished","-","","nsamples, v2","2026-04-14T20:40:35.000Z","138","","7","3","tsne","","100","100 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","0","0.4604","0.21","0.5992","0.2792","0.6279","0.6132","0.6532","0.7807","0.6132","0.11268862505753836","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.500783039842255","0.18460347436582553","0.5084212777377444","0.5045732535043544","0.5425337714494342","0.2669391632080078","0.5045732535043544"
"100 samples","0.06864036397359058","0.2847754654983571","finished","-","","nsamples, v2","2026-04-14T20:42:54.000Z","125","","7","3","tsne","","100","100 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","1","0.4812","0.2619","0.6078","0.3273","0.6134","0.6106","0.6539","0.646","0.6106","0.15126063505808512","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.4289467197439112","0.16832307546367958","0.3701949515412879","0.39741116208848265","0.39576487769258856","0.2714460790157318","0.39741116208848265"
"100 samples","0.17702560231611092","0.384811975173421","finished","-","","nsamples, v2","2026-04-14T20:36:14.000Z","131","","7","3","tsne","","100","100 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","0","0.4396","0.1895","0.5997","0.2712","0.602","0.6008","0.6156","0.7443","0.6008","0.039938104682498504","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.5543426522750001","0.2609815676641856","0.522157478030937","0.5377689293816119","0.502373128879153","0.2725227475166321","0.5377689293816119"
"1000 samples","0.1642949671931382","0.38408178167214313","finished","-","","nsamples, v2","2026-04-14T21:02:09.000Z","144","","7","3","tsne","","1000","1000 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","7","0.4016","0.1816","0.5486","0.2398","0.6114","0.5783","0.6265","0.0292","0.5783","0.0844613911708196","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.5362702795503839","0.1985629140956225","0.5873457531393532","0.5606471642715438","0.6024096385542169","0.029158297926187515","0.5606471642715438"
"1000 samples","0.17845009318475036","0.41109894121942314","finished","-","","nsamples, v2","2026-04-14T21:04:33.000Z","141","","7","3","tsne","","1000","1000 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","8","0.4111","0.1643","0.5408","0.2293","0.5974","0.5677","0.6225","0.0293","0.5677","0.12450951523251004","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.5375470847002305","0.21630058321226192","0.5888857984416097","0.5620465256495791","0.6188389923329682","0.029248688369989395","0.5620465256495791"
"1000 samples","0.1778552441935921","0.4213216502373129","finished","-","","nsamples, v2","2026-04-14T20:57:05.000Z","156","","7","3","tsne","","1000","1000 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","","","","","","","","","","","","","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.545239399510542","0.2416558436111554","0.6000258731992674","0.5713222160659251","0.6297918948521358","0.029261834919452667","0.571322216065925"
"1000 samples","0.1816315940138332","0.4019715224534502","finished","-","","nsamples, v2","2026-04-14T20:59:41.000Z","147","","7","3","tsne","","1000","1000 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","9","0.4213","0.1779","0.5452","0.2417","0.6","0.5713","0.6298","0.0293","0.5713","0.043388534320725335","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.5476008218085303","0.23014349117964633","0.5867992646225594","0.5665228051152381","0.597298284045272","0.02915603667497635","0.5665228051152381"
"1000 samples","0.19034617241676563","0.3818912011683096","finished","-","","nsamples, v2","2026-04-14T21:06:55.000Z","139","","7","3","tsne","","1000","1000 samples","/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips","/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips","/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results","/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips","3","false","","false","false","5","5","0.4582","0.1785","0.5685","0.2475","0.604","0.5857","0.6316","0.0294","0.5857","0.16379421220885382","supervised","1","resnet18","128","1","cuda:0","binary_cross_entropy_loss","2","8","10","5","","","","","","0.5117877993517597","0.19973014402578687","0.5263444249170468","0.5189640560846562","0.5593282219788244","0.029225166887044907","0.5189640560846561"
