Name,ari (Max),accuracy,State,Notes,User,Tags,Created,Runtime,Sweep,clustering.min_cluster_size,clustering.reduced_n_dimensions,clustering.reduction_algorithm,data.max_points,data.n_train_samples,name,paths.background_clips_path,paths.labeled_clips_path,paths.save_dir,paths.train_clips_path,preprocessing.clip_duration,preprocessing.high_contrast,preprocessing.overlay,preprocessing.reduce_noise,preprocessing.use_overlay,repeats,results.best_epoch,results.metrics.accuracy,results.metrics.ari,results.metrics.completeness,results.metrics.fmi,results.metrics.homogeneity,results.metrics.nmi,results.metrics.purity,results.metrics.train_loss,results.metrics.v_measure,results.train_time_hrs,strategy,training.arcface_loss_subcenters,training.backbone,training.batch_size,training.clustering_interval_epochs,training.device,training.loss_fn,training.n_clip_replicates,training.n_points_per_batch,training.num_epochs,training.num_workers,save_checkpoints,training.contrastive_loss.different_location_weight,training.contrastive_loss.pseudo_label_weight,training.contrastive_loss.same_clip_weight,training.contrastive_loss.same_location_weight,completeness,fmi,homogeneity,nmi,purity,train_loss,v_measure
100 samples,0.2326273458505411,0.3238408178167214,finished,-,,nsamples,2025-04-07T14:09:00.000Z,158,,7,3,tsne,,100,100 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.49169665258908696,0.17141914924040078,0.4738393510448895,0.4826028690734964,0.52026287,0.24324427545070648,0.4826028690734964
100 samples,0.24814625477037563,0.3764147499087258,finished,-,,nsamples,2025-04-07T14:11:38.000Z,146,,7,3,tsne,,100,100 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,0,0.4556,0.2326,0.6003,0.2958,0.6295,0.6146,0.6524,0.7207,0.6146,0.044075607,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.5119675398366479,0.1889270732879675,0.5150869997070914,0.5135225324237014,0.561153706,0.25219228863716125,0.5135225324237014
100 samples,0.23809538420571777,0.3092369477911647,finished,-,,nsamples,2025-04-07T14:14:04.000Z,147,,7,3,tsne,,100,100 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,0,0.4801,0.2481,0.6092,0.3111,0.6176,0.6134,0.6422,0.7371,0.6134,0.084703009,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.47505674688660815,0.1675768050250804,0.4531345553403476,0.4638367699533992,0.4990872581234027,0.2647096812725067,0.4638367699533992
100 samples,0.21837558867906695,0.28696604600219056,finished,-,,nsamples,2025-04-07T14:16:31.000Z,153,,7,3,tsne,,100,100 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,1,0.4184,0.2381,0.6293,0.3312,0.5665,0.5963,0.5586,0.6442,0.5963,0.12553227583567303,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.4571471698729273,0.14928748479738643,0.426069007,0.44106130735036314,0.46221248630887185,0.24299022555351257,0.44106130735036314
100 samples,0.17672521744541603,0.3136181087988317,finished,-,,nsamples,2025-04-07T14:19:04.000Z,152,,7,3,tsne,,100,100 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,1,0.4816,0.2184,0.6035,0.2867,0.6205,0.6119,0.6495,0.6062,0.6119,0.16811086813608803,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.47568605928780405,0.15563838887230194,0.47356851553400914,0.47462492556211067,0.49981745162468055,0.24035653471946716,0.4746249255621106
1000 samples,0.1006463315354294,0.30850675428988683,finished,-,,nsamples,2025-04-07T17:13:47.000Z,176,,7,3,tsne,,1000,1000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.4878523952844001,0.1638970255821147,0.5104135242008643,0.4988780153795872,0.5323110624315444,0.028585262596607208,0.49887801537958726
1000 samples,0.118245279,0.30960204454180357,finished,-,,nsamples,2025-04-07T17:16:44.000Z,165,,7,3,tsne,,1000,1000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,3,0.3633,0.1006,0.4913,0.1842,0.5066,0.4989,0.5385,0.0293,0.4989,0.048877395,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.47255416110813375,0.15590071119190965,0.5188273845979319,0.4946108600679851,0.5461847389558233,0.028691782,0.49461086006798505
1000 samples,0.16475040261547427,0.3537787513691128,finished,-,,nsamples,2025-04-07T17:19:29.000Z,168,,7,3,tsne,,1000,1000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,0,0.3896,0.1182,0.4923,0.2093,0.4505,0.4705,0.4827,0.1714,0.4705,0.095015276,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.5062503460620746,0.17057958134542556,0.5690812510933256,0.5358302147273376,0.6024096385542169,0.028461363166570663,0.5358302147273376
1000 samples,0.11478121360642562,0.11244979919678716,finished,-,,nsamples,2025-04-07T17:22:18.000Z,169,,7,3,tsne,,1000,1000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,6,0.4078,0.1648,0.5322,0.2361,0.5766,0.5535,0.6053,0.0285,0.5535,0.14178416589895884,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.6517535284579401,0.2387318675485589,0.024732513853953305,0.047656572829974424,0.12267250821467689,0.028616806492209435,0.047656572829974424
1000 samples,0.18403697034673247,0.3099671412924425,finished,-,,nsamples,2025-04-07T17:25:07.000Z,166,,7,3,tsne,,1000,1000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,0,0.3936,0.1148,0.5373,0.1999,0.5601,0.5484,0.5904,0.1703,0.5484,0.1887995171546936,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.4778820458664282,0.1569113727065223,0.5481342711819635,0.5106030431864678,0.5786783497626871,0.028544953,0.5106030431864678
10000 samples,0.9348487026788131,0.85505659,finished,-,,nsamples,2025-04-07T17:48:27.000Z,337,,7,3,tsne,,10000,10000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8922152251314472,0.9231988702366748,0.9613610801150468,0.9254984433062148,0.9667761956918584,0.010513126850128174,0.9254984433062148
10000 samples,0.9259497914336748,0.8864549105512961,finished,-,,nsamples,2025-04-07T17:54:05.000Z,332,,7,3,tsne,,10000,10000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.9,0.9348,0.9299,0.9386,0.9578,0.9436,0.9562,0.0082,0.9436,0.093660037,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9137637878857862,0.9290656430798144,0.9560184528470332,0.93441367,0.9667761956918584,0.008061067,0.93441367
10000 samples,0.9109274646270372,0.7802117561153705,finished,-,,nsamples,2025-04-07T17:59:37.000Z,339,,7,3,tsne,,10000,10000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.8795,0.9259,0.924,0.9302,0.9579,0.9406,0.958,0.0088,0.9406,0.18612411008940805,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8367448834012701,0.8224495293097216,0.9351811954604516,0.8832288092484039,0.936473165,0.008776437,0.8832288092484037
10000 samples,0.9360676509834618,0.8919313618108798,finished,-,,nsamples,2025-04-07T18:05:16.000Z,333,,7,3,tsne,,10000,10000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,7,0.8792,0.9109,0.9092,0.9163,0.9556,0.9318,0.9591,0.0105,0.9318,0.2801334838072459,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9096219948173064,0.930139704,0.9556969145872248,0.9320904103900302,0.9667761956918584,0.008431895,0.93209041
10000 samples,0.9317957192068992,0.7630522088353414,finished,-,,nsamples,2025-04-07T18:10:50.000Z,336,,7,3,tsne,,10000,10000 samples,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,7,0.9051,0.9361,0.9224,0.9399,0.9647,0.943,0.9744,0.0072,0.943,0.372822632,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.8789033412049584,0.8188750712989081,0.9306449766074946,0.904034417,0.8937568455640745,0.007851576,0.904034417
128 points,0.9295598118904492,0.8320554947060971,finished,-,,npoints,2025-04-07T18:22:32.000Z,324,,7,3,tsne,128,10000,128 points,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,,,,,,,,,,,,,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.873770104,0.8860972078698235,0.94856931,0.909634614,0.9609346476816356,0.004541616,0.9096346143237438
128 points,0.9266356318100856,0.8937568455640745,finished,-,,npoints,2025-04-07T18:27:57.000Z,306,,7,3,tsne,128,10000,128 points,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,6,0.9186,0.9296,0.9489,0.9337,0.9505,0.9497,0.9525,0.0072,0.9497,0.099124286,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9294984853006134,0.9307471961798552,0.9506614376872292,0.9399608571166174,0.9532676159182184,0.007080805,0.9399608571166176
128 points,0.9413196472972098,0.8758671047827674,finished,-,,npoints,2025-04-07T18:33:03.000Z,309,,7,3,tsne,128,10000,128 points,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,9,0.8938,0.9266,0.9295,0.9307,0.9507,0.94,0.9533,0.0071,0.94,0.18416684183809492,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9229366333308155,0.9238731691302624,0.9589918239467564,0.9406188444225784,0.9598393574297188,0.005014268,0.9406188444225784
128 points,0.9288493367305954,0.9112814895947426,finished,-,,npoints,2025-04-07T18:38:13.000Z,303,,7,3,tsne,128,10000,128 points,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,7,0.9116,0.9413,0.9343,0.9447,0.9616,0.9477,0.9726,0.0035,0.9477,0.2702711817291048,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.9300712787379244,0.9318127807532662,0.942931089,0.9364570370000492,0.949981745,0.002669314,0.9364570370000492
128 points,0.9246890473661624,0.8408178167214312,finished,-,,npoints,2025-04-07T18:43:16.000Z,314,,7,3,tsne,128,10000,128 points,/jet/projects/bio200037p/sml161/song25_oven_aiid/background_clips,/jet/projects/bio200037p/sml161/song25_oven_aiid/labeled_clips,/ocean/projects/bio200037p/sammlapp/song25_oven_aiid/training_results,/jet/projects/bio200037p/sml161/song25_oven_aiid/train_clips,3,FALSE,,FALSE,FALSE,5,8,0.9138,0.9288,0.9317,0.9329,0.9478,0.9397,0.9533,0.0061,0.9397,0.35459505630864036,supervised,1,resnet18,128,1,cuda:0,binary_cross_entropy_loss,2,8,10,5,,,,,,0.897545481,0.8828016539685357,0.943896681,0.920137725,0.94048923,0.005795529,0.920137725
