point_code,Block,X,Y,Obs,Month,Day,Year,Elevation,Aspect,Slope,Prism,Prism BA (ft2/ac),LL Center,LL rand 1,LL rand 2,Woody Center,Woody rand 1,Woody rand 2,Herb Center,Herb rand 1,Herb rand 2,Fern Center,Fern rand 1,Fern rand 2,Rubus Center,Rubus rand 1,Rubus rand 2,Bare/Rock Center,Bare/Rock rand 1,Bare/Rock rand 2,Moss Center,Moss rand 1,Moss rand 2,CWD Center,CWD rand 1,CWD rand 2,Notes,<1.5m,>1.5m,Total,Transect Length,Std <1.5m,Std >1.5m,distance_to_forest_edge_m,canopy_cover_50m_avg
RK392,SGL089,-77.4978027,41.2223015,TMP,7,8,2019,469.8795369,161.8254552,2.669757882,9,90,65,80,80,15,10,20,0,0,0,10,0,0,0,0,0,10,10,0,0,0,0,1,0,0,,12,5,17,10,1.2,0.5,1025.280396,89.22222222
RK393,SGL089,-77.5263977,41.2034988,CJF,7,9,2019,367.4336808,119.1035648,2.177836997,13,130,35,35,70,0,10,20,5,40,5,60,10,0,0,0,0,0,5,5,0,0,0,0,0,1,,2,5,7,10,0.2,0.5,469.5742798,90.66666667
RK394,SGL089,-77.5363007,41.2123985,CJF,7,9,2019,414.5397625,134.244044,2.292961122,15,150,45,30,45,0,45,15,3,15,15,50,5,25,2,0,0,0,0,0,0,5,0,0,1,0,,0,2,2,10,0,0.2,402.492218,90.75
RK395,SGL089,-77.4898987,41.2412987,NWV,7,8,2019,559.0800176,158.642756,0.262116633,13,130,5,20,30,10,20,70,0,0,0,80,55,0,0,0,0,0,0,0,5,5,0,0,1,0,,5,0,5,10,0.5,0,330,85.55555556
RK396,SGL089,-77.4906006,41.2438011,NWV,7,8,2019,559.0800176,158.642756,0.262116633,12,120,50,40,50,25,60,50,15,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,,5,6,11,10,0.5,0.6,201.246109,88.77777778
RK397,SGL089,-77.5203018,41.2018013,NWV,7,9,2019,354.9368675,215.7449912,2.678735551,12,120,20,45,50,20,10,30,20,30,0,20,0,5,0,0,0,15,10,15,5,5,0,0,1,0,,3,3,6,10,0.3,0.3,256.3200989,92.125
RK398,SGL089,-77.507103,41.2234001,TMP,7,8,2019,455.1814278,176.6381463,2.886936692,10,100,90,30,80,0,10,10,0,0,0,10,60,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,10,0,0.1,335.4101868,89.88888889
RK399,SGL089,-77.4992981,41.2382011,NWV,7,8,2019,549.272975,211.7156486,0.818083369,14,140,85,80,75,15,20,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,5,1,6,10,0.5,0.1,300,89.125
RK400,SGL089,-77.5005035,41.2481995,CJF,7,8,2019,546.21548,301.5097879,2.328558891,15,150,55,30,30,45,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9,2,11,10,0.9,0.2,617.737854,86.75
RK401,SGL089,-77.4923019,41.237999,NWV,7,8,2019,539.1623575,137.2624487,1.913693499,11,110,30,45,40,70,15,10,0,40,0,0,0,50,0,0,0,0,0,0,5,0,0,0,0,0,,6,0,6,10,0.6,0,218.4032898,86.11111111
RK402,SGL089,-77.5049973,41.2249985,TMP,7,8,2019,518.1656263,175.2159571,2.440113825,14,140,70,65,70,20,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,,12,10,22,10,1.2,1,375.8989258,89.625
RK403,SGL089,-77.5056992,41.2142982,TMP,7,8,2019,428.1864059,194.9085097,2.04311834,7,70,70,10,40,0,0,0,10,0,0,20,90,60,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,10,0,0,284.6049805,87.3
RK404,SGL089,-77.5243988,41.2162018,TMP,7,9,2019,363.1090184,187.5667255,1.165448564,9,90,60,0,10,20,0,0,10,0,0,10,0,30,0,0,0,0,100,60,0,0,0,2,3,1,,4,2,6,10,0.4,0.2,1046.565918,84.22222222
RK405,SGL089,-77.4905014,41.2354012,NWV,7,8,2019,539.1623575,137.2624487,1.913693499,17,170,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,10,0,0,480.9365845,88.77777778
RK406,SGL089,-77.5156021,41.2526016,CJF,7,8,2019,418.0311588,120.2116022,1.332865445,3,30,75,85,25,25,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,0,4,10,0.4,0,1429.02063,80.5
RK407,SGL089,-77.5020981,41.2462006,CJF,7,8,2019,546.21548,301.5097879,2.328558891,16,160,55,85,90,45,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,,1,0,1,10,0.1,0,735.4590454,88.875
RK408,SGL089,-77.5084,41.2257004,TMP,7,8,2019,518.1656263,175.2159571,2.440113825,12,120,60,20,10,20,0,0,0,0,0,20,80,10,0,0,0,0,0,80,0,0,0,0,0,0,,0,1,1,10,0,0.1,108.1665344,87.375
RK409,SGL089,-77.5184021,41.2089005,TMP,7,9,2019,354.9368675,215.7449912,2.678735551,5,50,80,80,90,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,0,,0,8,8,10,0,0.8,700.3570557,88
RK410,SGL089,-77.5047989,41.2388992,CJF,7,8,2019,549.272975,211.7156486,0.818083369,12,120,35,30,45,50,70,10,10,0,0,0,0,15,0,0,0,0,0,30,5,0,0,0,0,0,,4,0,4,10,0.4,0,726.2231445,84.88888889
RK411,SGL089,-77.5113983,41.2215996,TMP,7,8,2019,483.2400195,223.6642307,3.925734185,6,60,50,20,40,10,0,30,0,0,10,40,80,20,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,2,10,0.1,0.1,108.1665344,92.5
RK412,SGL089,-77.5323029,41.1808014,CJF,7,10,2019,318.1011373,181.5663516,2.516100856,14,140,85,45,20,5,30,10,0,10,5,10,0,65,0,0,0,0,0,0,0,15,0,0,0,0,,4,4,8,10,0.4,0.4,852.7601929,87.88888889
RK413,SGL089,-77.5000992,41.2546005,CJF,7,8,2019,506.6356188,289.9625543,2.829279866,6,60,15,15,15,30,15,0,0,20,40,0,0,30,0,0,0,45,10,10,0,40,5,0,0,0,,3,5,8,10,0.3,0.5,323.1098938,85.14285714
RK414,SGL089,-77.5292969,41.2097015,CJF,7,9,2019,367.4336808,119.1035648,2.177836997,13,130,80,90,20,15,10,10,5,0,20,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,,5,3,8,10,0.5,0.3,632.850647,90.875
RK415,SGL089,-77.5338974,41.2146988,CJF,7,9,2019,419.2895395,96.74960328,3.456463273,12,120,25,50,35,70,12,60,5,0,5,0,0,0,0,0,0,0,18,0,0,20,0,0,0,0,,5,14,19,10,0.5,1.4,724.9827881,91.75
RK416,SGL089,-77.5091019,41.1907005,CJF,7,10,2019,270.6875915,192.7821686,2.21329569,10,100,45,40,45,35,40,50,0,0,0,15,0,0,0,0,0,0,15,0,5,5,5,0,0,0,,5,0,5,10,0.5,0,579.3962402,91.25
RK417,SGL089,-77.5363998,41.2095985,CJF,7,9,2019,414.5397625,134.244044,2.292961122,10,100,15,50,15,35,0,0,10,10,0,40,40,80,0,0,0,0,0,0,0,0,5,0,0,2,,3,5,8,10,0.3,0.5,192.0937347,88.125
RK418,SGL089,-77.5251999,41.1986008,CJF,7,9,2019,372.3302369,124.4809765,2.731079161,8,80,35,10,70,50,70,10,0,0,5,15,20,15,0,0,0,0,0,0,0,0,0,1,0,1,,13,2,15,10,1.3,0.2,300,88.88888889
RK419,SGL089,-77.5327988,41.1744003,CJF,7,10,2019,250.0554841,198.0001638,1.256541103,15,150,35,15,65,0,15,0,5,60,10,60,10,20,0,0,5,0,0,0,0,0,0,1,0,0,,0,1,1,10,0,0.1,375.8989258,88
RK420,SGL089,-77.5313034,41.2126007,CJF,7,9,2019,419.2895395,96.74960328,3.456463273,9,90,10,15,30,65,5,15,5,10,5,20,70,50,0,0,0,0,0,0,0,0,0,0,0,1,,11,8,19,10,1.1,0.8,721.2489014,91.75
RK421,SGL089,-77.5326004,41.1856003,CJF,7,10,2019,318.1011373,181.5663516,2.516100856,14,140,25,20,35,0,40,0,0,10,5,70,30,60,5,0,0,0,0,0,0,0,0,2,1,0,,0,4,4,10,0,0.4,917.8234863,84.33333333
RK422,SGL089,-77.5131989,41.2244987,TMP,7,9,2019,483.2400195,223.6642307,3.925734185,12,120,70,70,60,10,0,10,0,20,0,0,0,0,0,0,0,0,0,30,20,10,0,0,0,0,,3,0,3,10,0.3,0,67.08203888,83.625
RK423,SGL089,-77.4991989,41.2327995,NWV,7,8,2019,549.272975,211.7156486,0.818083369,5,50,20,10,65,70,0,20,0,0,5,10,90,10,0,0,0,0,0,0,0,0,0,0,1,0,,0,11,11,10,0,1.1,30,78.11111111
RK424,SGL089,-77.5310974,41.2159996,CJF,7,9,2019,419.2895395,96.74960328,3.456463273,8,80,5,0,2,0,0,0,0,10,0,90,90,98,5,0,0,0,0,0,0,0,0,0,0,0,,5,6,11,10,0.5,0.6,982.7003784,90.33333333
RK425,SGL089,-77.540802,41.1805992,TMP,7,10,2019,286.5569383,221.1800889,3.147603285,11,110,60,20,20,10,30,30,30,30,0,0,0,50,0,0,0,0,20,0,0,0,0,0,2,0,,0,1,1,10,0,0.1,300,87
RK426,SGL089,-77.4977036,41.2044983,TMP,7,8,2019,399.9758713,150.3137414,2.04016766,11,110,10,40,50,0,0,20,0,0,10,70,30,0,0,0,0,20,0,0,0,30,20,0,0,0,,0,0,0,10,0,0,466.6904602,88.75
RK427,SGL089,-77.520401,41.2235985,TMP,7,9,2019,390.0526995,240.4411999,3.379208694,9,90,70,80,100,0,0,0,10,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,1,,4,9,13,10,0.4,0.9,630,88.22222222
RK428,SGL089,-77.5053024,41.2313004,NWV,7,8,2019,518.1656263,175.2159571,2.440113825,13,130,40,60,70,0,10,20,0,0,0,0,0,0,0,0,0,60,30,0,0,0,10,0,0,0,,0,4,4,10,0,0.4,67.08203888,91.875
RK429,SGL089,-77.4990997,41.2122002,TMP,7,8,2019,422.3329492,154.288028,1.997562963,8,80,35,70,90,0,0,0,0,0,10,0,0,0,0,0,0,50,10,0,15,20,0,0,0,1,,1,1,2,10,0.1,0.1,757.1657715,92.88888889
RK430,SGL089,-77.4923019,41.2321014,NWV,7,8,2019,539.1623575,137.2624487,1.913693499,13,130,60,30,10,40,70,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,14,11,25,10,1.4,1.1,417.8516541,86.11111111
RK431,SGL089,-77.5056,41.2083015,TMP,7,8,2019,428.1864059,194.9085097,2.04311834,12,120,80,80,40,20,10,0,0,0,0,0,0,40,0,0,0,0,10,20,0,0,0,0,0,1,,2,7,9,10,0.2,0.7,108.1665344,92.25
RK432,SGL089,-77.512001,41.202301,NWV,7,9,2019,425.4922413,214.96332,2.904637144,11,110,80,45,10,20,40,5,0,0,0,0,5,85,0,0,0,0,0,0,0,10,0,1,0,0,,26,1,27,10,2.6,0.1,42.42640686,61.44444444
RK433,SGL089,-77.5134964,41.1846008,DRS,7,10,2019,270.6875915,192.7821686,2.21329569,15,150,73,60,3,1,0,0,0,15,0,25,15,97,0,0,0,1,7,0,0,3,0,0,1,0,,2,3,5,10,0.2,0.3,150,87.6
RK434,SGL089,-77.4935989,41.2551994,CJF,7,8,2019,506.6356188,289.9625543,2.829279866,10,100,70,65,65,30,30,25,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,3,10,0.2,0.1,366.1966553,86.33333333
