array,x,y,UTM_ZONE
SBT-3-49,454089.111098,6101642.520699999,12
SBT-3-39,439466.07932399993,6108492.826179999,12
SBT-3-15,452023.33639199997,6096862.244480001,12
SBT-3-33,470410.269962,6096335.572279999,12
SBT-6-81,690543.171052,6118895.623180001,11
SBT-3-51,463009.3330897959,6087054.8502653055,12
SBT-3-18,442158.08200600004,6094888.34312,12
SBT-3-9,438622.9350580001,6108475.211639999,12
SBT-3-32,470765.554528,6094969.150960001,12
SBT-6-79,650346.432142,6144211.637360001,11
SBT-6-76,662379.874278,6124217.321639999,11
SBT-3-7,455056.96015199996,6080366.27694,12
SBT-6-83,661674.01221,6121319.589439999,11
