,year,cluster_reviewed,5/15,5/16,5/17,5/18,5/19,5/20,5/21,5/22,5/23,5/24,5/25,5/26,reviewer,notes
0,2021,RK001_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
0,2022,RK001_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
0,2023,RK001_0,,,,,,,,,,,,,SL,
0,2024,RK001_0,,,,,,,,,,,,,SL,
1,2021,RK001_1,,,,,,,,,,,,,SL,
1,2022,RK001_1,,,,,,,,,,,,,SL,
1,2023,RK001_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
1,2024,RK001_1,1,1,1,1,1,1,1,1,1,1,1,1,SL,
2,2021,RK001_3,1,1,1,1,1,1,,1,1,,1,1,SL,
2,2022,RK001_3,,,,,,,,,,,,,SL,
2,2023,RK001_3,,,,,,,,,,,,,SL,
2,2024,RK001_3,,,,,,,,,,,,,SL,
3,2021,RK001_5,,,,,,,,,,,,,SL,
3,2022,RK001_5,,1,1,,,1,1,1,1,1,1,1,SL,
3,2023,RK001_5,,,,,,1,1,,,,,,SL,
3,2024,RK001_5,1,1,,1,1,1,1,1,1,1,1,1,SL,
4,2021,RK004_0,,,,,,,,,,,,,SL,
4,2022,RK004_0,,,,,1,1,1,1,1,1,1,1,SL,
4,2023,RK004_0,,,1,1,1,1,1,1,1,1,1,1,SL,
4,2024,RK004_0,,1,1,1,,,,,,,,,SL,
5,2021,RK004_1,,,,,,,,,,,,,SL,
5,2022,RK004_1,,,,,,,,,,,,,SL,
5,2023,RK004_1,,,,,,,,,,,,,SL,
5,2024,RK004_1,1,1,,,,1,1,1,1,1,1,1,SL,
6,2021,RK004_3,,,,,,,,,,,,,SL,
6,2022,RK004_3,1,,,,,,,,,,1,1,SL,
6,2023,RK004_3,,,,,,,,,,,,,SL,
6,2024,RK004_3,,,,,,,,,,,,,SL,
7,2021,RK004_4,,1,1,,1,1,1,,,1,,,SL,
7,2022,RK004_4,1,1,1,1,1,1,1,1,1,1,1,1,SL,
7,2023,RK004_4,,,,,,,,,,,,,SL,
7,2024,RK004_4,,,,,,,,,,,,,SL,
8,2021,RK007_0,1,1,,1,,,1,1,,1,1,1,SL,
8,2022,RK007_0,1,1,1,1,1,1,1,1,1,1,1,1,SL,
8,2023,RK007_0,,,,,,,,,,,,,SL,
8,2024,RK007_0,,,,,,,,,,,,,SL,
9,2021,RK007_1,,,,,,,,,,,,,SL,
9,2022,RK007_1,,,,,,,,,,,,,SL,
9,2023,RK007_1,,,,,,,,,,,,,SL,
9,2024,RK007_1,1,1,1,1,1,1,1,1,1,1,1,,SL,
10,2021,RK007_2,,,,,,,,,,,,,SL,
10,2022,RK007_2,,,,,,,,,,,,,SL,
10,2023,RK007_2,,,,,1,1,1,1,1,1,1,1,SL,
10,2024,RK007_2,,,,,,,,,,,,,SL,
11,2021,RK007_3,1,1,1,,1,,1,1,1,1,1,,SL,
