point_code,point_description,latitude,longitude,elev,ortho_ht,UTM Zone,UTM Easting,UTM Northing,site_name,deployable,deployment_issue,difficulty_rating,updated_by,update_datetime,Notes,Region,Transect,Transect meters,utm_E,utm_N,utm_zone,utm_letter
Blanco010m,,8.676812618,-80.59968426,,,17p,544039.0,959145.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,10.0,544039.0004103255,959144.9999300265,17.0,P
Blanco030m,,8.676902916,-80.59953873,,,17p,544055.0,959155.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,30.0,544054.9999860576,959154.999966443,17.0,P
Blanco050m,,8.6767943,-80.59946613,,,17p,544063.0,959143.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,50.0,544062.9995478452,959143.0000313575,17.0,P
Blanco070m,,8.676857309,-80.59917518,,,17p,544095.0,959150.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,70.0,544095.00030191,959149.9999436523,17.0,P
Blanco090m,,8.676694327,-80.59901174,,,17p,544113.0,959132.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,90.0,544112.9997499179,959131.9999743906,17.0,P
Blanco110m,,8.676730278,-80.59879354,,,17p,544137.0,959136.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,110.0,544137.0002630824,959135.9999933569,17.0,P
Blanco130m,,8.677273314,-80.59911111,,,17p,544102.0,959196.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,130.0,544102.0002453588,959196.0000277892,17.0,P
Blanco150m,,8.676250834,-80.59873951,,,17p,544143.0,959083.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,150.0,544143.0002355595,959082.9999442229,17.0,P
Blanco170m,,8.675925185,-80.59871259,,,17p,544146.0,959047.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,170.0,544145.9998118891,959046.9999994918,17.0,P
Blanco190m,,8.675925185,-80.59871259,,,17p,544146.0,959047.0,Rio Blanco,,,,Sam Lapp,11/20/2023 11:34:02,,El Cope,,190.0,544145.9998118891,959046.9999994918,17.0,P
